id,trade_ref,instrument_id,counterparty_id,asset_class,side,quantity,price,trade_date,status
1,TRD-000001,41,2,FX,BUY,1565144,41.8344,2026-05-05,SETTLED
2,TRD-000002,44,9,FX,BUY,1248352,63.7507,2026-04-03,SETTLED
3,TRD-000003,15,9,FX,BUY,1187016,30.4666,2026-07-08,CONFIRMED
4,TRD-000004,38,5,FIXED_INCOME,BUY,1439319,105.9442,2026-06-09,SETTLED
5,TRD-000005,14,6,FX,BUY,204502,57.4852,2026-06-28,CONFIRMED
6,TRD-000006,39,5,FIXED_INCOME,BUY,3953935,101.0868,2026-07-03,PENDING
7,TRD-000007,19,10,EQUITY,SELL,4739,189.21,2026-04-02,SETTLED
8,TRD-000008,50,5,DERIVATIVE,BUY,60,4339.09,2026-07-09,CONFIRMED
9,TRD-000009,41,6,FX,BUY,786325,53.8064,2026-06-23,SETTLED
10,TRD-000010,39,3,FIXED_INCOME,BUY,1470719,98.8678,2026-06-21,PENDING
11,TRD-000011,15,6,FX,BUY,490348,123.4129,2026-06-13,SETTLED
12,TRD-000012,5,4,EQUITY,SELL,1751,596.79,2026-07-21,CONFIRMED
13,TRD-000013,10,5,FIXED_INCOME,BUY,2168861,107.3497,2026-06-24,PENDING
14,TRD-000014,28,10,EQUITY,SELL,2975,213.0,2026-05-17,CONFIRMED
15,TRD-000015,6,1,EQUITY,BUY,1262,572.15,2026-07-20,SETTLED
16,TRD-000016,25,7,EQUITY,SELL,4344,241.24,2026-04-22,SETTLED
17,TRD-000017,44,9,FX,SELL,1621868,96.4315,2026-04-10,CONFIRMED
18,TRD-000018,11,8,FIXED_INCOME,BUY,2309467,114.1566,2026-05-17,SETTLED
19,TRD-000019,41,5,FX,BUY,330527,56.5879,2026-05-18,PENDING
20,TRD-000020,1,10,EQUITY,SELL,4012,37.14,2026-06-27,SETTLED
21,TRD-000021,16,1,EQUITY,BUY,4657,853.32,2026-04-24,CONFIRMED
22,TRD-000022,5,9,EQUITY,BUY,1061,600.58,2026-05-09,PENDING
23,TRD-000023,39,7,FIXED_INCOME,BUY,4623943,107.658,2026-05-23,SETTLED
24,TRD-000024,26,6,EQUITY,SELL,4249,417.31,2026-05-08,SETTLED
25,TRD-000025,22,1,EQUITY,BUY,4830,213.79,2026-04-23,SETTLED
26,TRD-000026,15,2,FX,BUY,1812786,50.0999,2026-05-09,CONFIRMED
27,TRD-000027,14,9,FX,BUY,1526980,140.3787,2026-07-08,CONFIRMED
28,TRD-000028,27,4,EQUITY,BUY,804,599.9,2026-06-14,CONFIRMED
29,TRD-000029,30,1,EQUITY,BUY,506,374.31,2026-06-26,SETTLED
30,TRD-000030,16,4,EQUITY,BUY,4403,414.78,2026-07-06,SETTLED
31,TRD-000031,30,4,EQUITY,BUY,3640,731.06,2026-04-02,PENDING
32,TRD-000032,1,2,EQUITY,BUY,1372,377.64,2026-07-07,CONFIRMED
33,TRD-000033,4,3,EQUITY,SELL,27,887.07,2026-06-26,CONFIRMED
34,TRD-000034,19,7,EQUITY,SELL,1278,187.11,2026-05-02,PENDING
35,TRD-000035,48,9,DERIVATIVE,BUY,192,1602.34,2026-04-19,CONFIRMED
