id,symbol,name,asset_class,currency,isin
1,SAP.DE,SAP SE,EQUITY,EUR,DE0007164600
2,SIE.DE,Siemens AG,EQUITY,EUR,DE0007236101
3,DBKGn.DE,Deutsche Bank AG,EQUITY,EUR,DE0005140008
4,AAPL,Apple Inc,EQUITY,USD,US0378331005
5,MSFT,Microsoft Corp,EQUITY,USD,US5949181045
6,GOOGL,Alphabet Inc,EQUITY,USD,US02079K3059
7,HSBA.L,HSBC Holdings,EQUITY,GBP,GB0005405286
8,VOD.L,Vodafone Group,EQUITY,GBP,GB00BH4HKS39
9,T.TO,Telus Corp,EQUITY,CAD,CA87971M1032
10,BUND10Y,German 10Y Bund,FIXED_INCOME,EUR,DE0001102341
11,UST10Y,US 10Y Treasury,FIXED_INCOME,USD,US912828Z948
12,GILT10Y,UK 10Y Gilt,FIXED_INCOME,GBP,GB00BFWFPL34
13,EUR/USD,EUR/USD Spot,FX,USD,NULL
14,USD/JPY,USD/JPY Spot,FX,JPY,NULL
15,GBP/USD,GBP/USD Spot,FX,USD,NULL
16,TSLA,Tesla Inc,EQUITY,USD,US88160R1014
17,AMZN,Amazon.com Inc,EQUITY,USD,US0231351067
18,NVDA,NVIDIA Corp,EQUITY,USD,US67066G1040
19,BAS.DE,BASF SE,EQUITY,EUR,DE000BASF111
20,ALV.DE,Allianz SE,EQUITY,EUR,DE0008404005
21,MC.PA,LVMH Moet Hennessy,EQUITY,EUR,FR0000121014
22,OR.PA,LOreal SA,EQUITY,EUR,FR0000120321
23,NESN.SW,Nestle SA,EQUITY,CHF,CH0038863350
24,NOVN.SW,Novartis AG,EQUITY,CHF,CH0012005267
25,BARC.L,Barclays PLC,EQUITY,GBP,GB0031348658
26,BP.L,BP PLC,EQUITY,GBP,GB0007980591
27,7203.T,Toyota Motor Corp,EQUITY,JPY,JP3633400001
28,6758.T,Sony Group Corp,EQUITY,JPY,JP3435000009
29,RY.TO,Royal Bank of Canada,EQUITY,CAD,CA7800871021
30,BHP.AX,BHP Group Ltd,EQUITY,AUD,AU000000BHP4
31,BUND5Y,German 5Y Bund,FIXED_INCOME,EUR,DE0001141018
32,BUND30Y,German 30Y Bund,FIXED_INCOME,EUR,DE0001102390
33,UST2Y,US 2Y Treasury,FIXED_INCOME,USD,US912828U816
34,UST5Y,US 5Y Treasury,FIXED_INCOME,USD,US912828V806
35,UST30Y,US 30Y Treasury,FIXED_INCOME,USD,US912810TB25
36,GILT5Y,UK 5Y Gilt,FIXED_INCOME,GBP,GB00BMBL1D50
37,JGB10Y,Japan 10Y Govt Bond,FIXED_INCOME,JPY,JP1103381Q97
38,OAT10Y,French 10Y OAT,FIXED_INCOME,EUR,FR0014008J39
39,BTP10Y,Italian 10Y BTP,FIXED_INCOME,EUR,IT0005441883
40,EUR/GBP,EUR/GBP Spot,FX,GBP,NULL
41,EUR/JPY,EUR/JPY Spot,FX,JPY,NULL
42,AUD/USD,AUD/USD Spot,FX,USD,NULL
43,USD/CAD,USD/CAD Spot,FX,CAD,NULL
44,USD/CHF,USD/CHF Spot,FX,CHF,NULL
45,NZD/USD,NZD/USD Spot,FX,USD,NULL
46,ESZ25,E-mini SP500 Future,DERIVATIVE,USD,NULL
47,NQZ25,E-mini Nasdaq Future,DERIVATIVE,USD,NULL
48,CLZ25,WTI Crude Future,DERIVATIVE,USD,NULL
49,AAPL-C150,AAPL Call Option 150,DERIVATIVE,USD,NULL
50,SPX-P4500,SPX Put Option 4500,DERIVATIVE,USD,NULL
